hostName	ScerCount	Spar	otherAmplifiedITScount	otherGrowthCount	sampleCount	site	species	hostType	latitude	longitude	elevation	circum	pH
AN1	2	0	9	4	10	PYR	Ficuscarica	fig	40.2504	23.69257	90	NA	NA
AN2	0	0	7	2	9	PYR	Vitisvinifera	grape	40.25023	23.69359	85	NA	NA
AN3	1	0	5	1	5	PYR	Ficuscarica	fig	40.25023	23.69359	85	NA	NA
AN4	0	0	3	7	10	PYR	Ficuscarica	fig	40.25023	23.69359	85	NA	NA
BOB	0	0	1	8	10	PAR	Vitisvinifera	grape	38.13974	23.78445	378	NA	NA
CHO3	0	0	1	0	1	CHO	Quercussp.	oak	53.42394	-2.2700013	34	1.14	NA
CR1	0	0	3	0	11	CR	Ficuscarica	fig	35.5527	23.777033	21	NA	NA
CRO10	0	0	0	0	9	CRO	Quercuspetraea	oak	53.494804	-1.8945389	287	1.68	3
CRO11	0	0	0	0	9	CRO	Quercuspetraea	oak	53.494633	-1.8944489	281	0.85	3
CRO12	0	1	0	0	9	CRO	Quercuspetraea	oak	53.494435	-1.8942233	275	1.3	3
CRO13	0	0	0	0	7	CRO	Quercuspetraea	oak	53.494858	-1.894373	290	1.37	3.25
CRO14	0	0	0	0	7	CRO	Quercuspetraea	oak	53.495127	-1.8944025	300	1.22	3.25
CRO15	0	0	0	0	7	CRO	Quercuspetraea	oak	53.494183	-1.8938471	275	1.28	3.25
CRO1	0	1	1	0	12	CRO	Quercuspetraea	oak	53.49475	-1.8944034	257	2	3.5
CRO2	0	3	0	0	10	CRO	Quercuspetraea	oak	53.494066	-1.8936364	256	2	3.5
CRO3	0	2	0	1	10	CRO	Quercuspetraea	oak	53.494075	-1.8936062	260	1.8	3.5
CRO4	0	1	0	1	8	CRO	Quercuspetraea	oak	53.493364	-1.8931558	334	1.44	4
CRO5	0	0	0	1	9	CRO	Quercuspetraea	oak	53.493454	-1.8932611	331	1.56	3
CRO6	0	0	2	0	7	CRO	Quercuspetraea	oak	53.493877	-1.8935765	325	1.63	3
CRO7	0	1	0	0	9	CRO	Quercuspetraea	oak	53.494372	-1.8942385	305	1.3	3
CRO8	0	1	0	1	9	CRO	Quercuspetraea	oak	53.494327	-1.8941783	288	1.76	NA
CRO9	0	0	0	0	9	CRO	Quercuspetraea	oak	53.494579	-1.8943887	288	1	3
DAV10	0	0	2	1	4	DAV	Vitisvinifera	grape	51.022167	0.197367	85.5	NA	5.5
DAV11	0	0	2	1	6	DAV	Vitisvinifera	grape	51.022067	0.197333	85.5	NA	5.5
DAV1	1	1	2	0	8	DAV	Quercusrobur	oak	51.022117	0.197617	85.3	1.9	4
DAV2	0	0	0	0	4	DAV	Quercusrobur	oak	51.022167	0.197767	86.3	3.18	5.5
DAV3	0	0	0	0	4	DAV	Quercuspetraea	oak	51.022	0.197417	93.3	0.38	4
DAV4	0	0	0	0	4	DAV	Quercusrobur	oak	51.021933	0.197433	94.8	0.74	3.5
DAV5	0	0	0	0	4	DAV	Quercusrobur	oak	51.02195	0.1973	88.4	0.44	4.5
DAV6	0	0	0	0	4	DAV	Quercusrobur	oak	51.021783	0.19725	78.3	0.54	5.5
DAV7	0	0	3	0	4	DAV	Vitisvinifera	grape	51.022633	0.1979	85.5	NA	5.5
DAV8	1	0	0	0	4	DAV	Vitisvinifera	grape	51.02245	0.197433	85.5	NA	5.5
DAV9	2	0	2	0	4	DAV	Vitisvinifera	grape	51.022283	0.197417	85.5	NA	5.5
DAVAUX	2	0	0	0	2	DAV	Vitisvinifera	grape	51.02227783	0.197463833	85.5	NA	5.5
DAVPIN	1	0	2	0	2	DAV	Vitisvinifera	grape	51.02227783	0.197463833	85.5	NA	5.5
FGX	1	0	0	5	12	PAR	Ficuscarica	fig	38.12495	23.85544	351	NA	NA
FRI10	0	0	2	2	4	FRI	Quercuspetraea	oak	50.92785	-1.657083	89.9	4.12	6.5
FRI11	0	1	2	2	4	FRI	Quercuspetraea	oak	50.928483	-1.655183	104.2	3.88	4
FRI12	0	0	2	2	4	FRI	Quercusrobur	oak	50.92875	-1.655667	109.1	1.83	5.5
FRI13	0	0	0	4	4	FRI	Quercusrobur	oak	50.928883	-1.655967	127.4	3.76	4.5
FRI14	0	1	0	2	4	FRI	Quercusrobur	oak	50.929333	-1.655383	132.9	2.88	3.5
FRI15	0	0	0	2	4	FRI	Quercuspetraea	oak	50.929967	-1.65555	133.2	2.34	4.5
FRI1	0	1	0	3	4	FRI	Quercuspetraea	oak	50.928117	-1.656017	187.5	3.52	4.5
FRI2	0	1	0	3	4	FRI	Quercusrobur	oak	50.928033	-1.655867	177.4	3.73	3.5
FRI3	0	1	0	3	4	FRI	Quercusrobur	oak	50.928233	-1.6559	103.9	NA	3.5
FRI4	0	1	0	2	4	FRI	Quercusrobur	oak	50.928267	-1.655633	75	3.79	3.5
FRI5	0	0	1	3	4	FRI	Quercusrobur	oak	50.928067	-1.656	113.4	2.83	4.5
FRI6	0	1	0	3	4	FRI	Quercusrobur	oak	50.928783	-1.6559	88.1	3.4	4
FRI7	0	0	0	3	4	FRI	Quercusrobur	oak	50.927833	-1.65565	87.2	3.21	3.5
FRI8	0	0	0	3	4	FRI	Quercusrobur	oak	50.928467	-1.655117	87.5	NA	4.5
FRI9	0	0	2	3	4	FRI	Quercusrobur	oak	50.928467	-1.655117	90.5	3.43	4.5
IGC1	0	0	2	6	11	IGC	Ficuscarica	fig	38.69225	-9.3165	NA	NA	NA
IXI	0	0	0	7	10	PAR	Vitisvinifera	grape	38.12512	23.85559	373	NA	NA
LBW1	0	0	0	1	6	LBW	Quercuspetraea	oak	53.377192	-1.6928925	244	1.75	5
LBW2	0	7	7	2	20	LBW	Quercuspetraea	oak	53.378582	-1.6880722	301	2.43	5
LBW4	0	0	0	0	3	LBW	Quercuspetraea	oak	53.377958	-1.6937589	310	NA	3.5
LBW5	0	0	0	0	3	LBW	Quercuspetraea	oak	53.379146	-1.6871812	286	2.73	3.5
MB10	0	0	1	2	4	MB	Quercuspubescens	oak	43.64716	3.20309	285	0.51	NA
MB11	0	1	0	1	4	MB	Quercuspubescens	oak	43.64719	3.20307	284	NA	NA
MB12	0	0	0	4	4	MB	Quercusilex	oak	43.64713	3.20315	283	0.72	NA
MB13	0	1	0	0	4	MB	Quercusilex	oak	43.64704	3.20321	307	0.71	NA
MB14	0	0	0	0	4	MB	Quercusilex	oak	43.64703	3.20326	302	0.86	NA
MB15	0	1	1	1	3	MB	Quercusilex	oak	43.64705	3.2033	303	0.6	NA
MB1	0	0	0	0	4	MB	Quercuspubescens	oak	43.64687	3.20254	280	1.13	NA
MB2	0	0	0	0	4	MB	Quercuspubescens	oak	43.64687	3.20259	280	0.84	NA
MB3	0	0	0	0	4	MB	Quercuspubescens	oak	43.64681	3.20262	280	0.85	NA
MB4	0	4	0	0	4	MB	Quercuspubescens	oak	43.64676	3.20263	283	1.37	NA
MB5	0	2	0	0	4	MB	Quercuspubescens	oak	43.647	3.20312	292	NA	NA
MB6	0	0	0	1	4	MB	Quercusilex	oak	43.64702	3.20308	294	NA	NA
MB7	1	0	0	2	4	MB	Quercuspubescens	oak	43.64701	3.20304	295	NA	NA
MB8	0	0	0	2	4	MB	Quercuspubescens	oak	43.64704	3.20298	293	NA	NA
MB9	0	0	0	3	4	MB	Quercuspubescens	oak	43.64707	3.20292	286	0.42	NA
OCK10	0	0	0	1	4	OCK	Quercusrobur	oak	50.907217	-1.649033	110.9	1.77	5
OCK11	0	2	1	1	4	OCK	Quercuspetraea	oak	50.90535	-1.646633	114.9	2.45	3.5
OCK12	0	0	0	1	4	OCK	Quercuspetraea	oak	50.904417	-1.647067	112.5	2.45	3
OCK13	0	0	0	2	3	OCK	Quercuspetraea	oak	50.904533	-1.647117	96.6	1.49	3
OCK14	0	0	0	0	4	OCK	Quercusrobur	oak	50.904367	-1.647283	96	3	4.5
OCK15	0	0	1	0	4	OCK	Quercusrobur	oak	50.904467	-1.645533	116.1	1.95	4
OCK1	0	1	0	1	4	OCK	Quercuspetraea	oak	50.906917	-1.646517	137.5	0.88	5
OCK2	0	0	0	0	4	OCK	Quercusrobur	oak	50.907017	-1.64645	138.5	0.7	4
OCK3	0	0	0	0	4	OCK	Quercuspetraea	oak	50.908333	-1.648217	97.2	0.655	4.5
OCK4	0	0	0	0	4	OCK	Quercuspetraea	oak	50.908683	-1.648533	84.4	0.89	4
OCK5	0	0	2	0	4	OCK	Quercusrobur	oak	50.908517	-1.649183	108.8	1.21	4.5
OCK6	0	0	1	0	4	OCK	Quercuspetraea	oak	50.908733	-1.648433	110.3	1.22	4
OCK7	0	1	1	0	4	OCK	Quercuspetraea	oak	50.908517	-1.648833	103.9	0.86	4
OCK8	0	0	0	1	4	OCK	Quercusrobur	oak	50.908433	-1.64875	103	0.89	5
OCK9	0	0	0	0	4	OCK	Quercuspetraea	oak	50.9085	-1.6506	101.5	1.8	3.5
PAR10	0	1	0	2	4	PAR	Quercuspubescens	oak	38.18383	23.78985	641	1.41	NA
PAR11	0	0	0	0	4	PAR	Quercuspubescens	oak	38.18396	23.79594	650	1.17	NA
PAR12	0	0	0	1	4	PAR	Quercuspubescens	oak	38.18417	23.79596	644	1.81	NA
PAR13	0	0	1	0	4	PAR	Quercuspubescens	oak	38.1842	23.79594	644	1.465	NA
PAR14	0	0	0	3	4	PAR	Quercuspubescens	oak	38.18419	23.796	644	1.44	NA
PAR15	0	0	0	0	4	PAR	Quercuspubescens	oak	38.18461	23.79733	643	1.16	NA
PAR1	0	0	0	1	4	PAR	Quercuspubescens	oak	38.17258	23.78977	586	NA	NA
PAR2	0	0	0	2	4	PAR	Quercuspubescens	oak	38.17262	23.78981	586	1.16	NA
PAR3	0	0	0	0	4	PAR	Quercuspubescens	oak	38.17258	23.78981	586	1.12	NA
PAR4	0	0	0	3	4	PAR	Quercuspubescens	oak	38.17262	23.78782	588	1.36	NA
PAR5	0	0	0	1	4	PAR	Quercuspubescens	oak	38.1727	23.78996	591	0.73	NA
PAR6	0	0	0	4	4	PAR	Quercuspubescens	oak	38.17256	23.78952	595	0.23	NA
PAR7	0	0	0	2	4	PAR	Quercusilex	oak	38.18349	23.79356	639	0.52	NA
PAR8	0	0	0	1	4	PAR	Quercuspubescens	oak	38.18386	23.7942	644	0.83	NA
PAR9	0	0	0	0	4	PAR	Quercuspubescens	oak	38.18407	23.79444	640	0.75	NA
PLU10	0	0	0	0	4	PLU	Quercuspetraea	oak	50.906483	-0.0696	62.5	0.53	5.5
PLU11	1	0	0	0	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	5
PLU12	1	0	0	0	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	5
PLU13	1	0	0	0	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	5
PLU14	0	0	0	0	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	5
PLU15	1	1	0	0	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	5
PLU16	0	0	0	0	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	5
PLU17	1	0	0	0	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	5
PLU18	0	0	0	0	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	5
PLU19	1	0	0	0	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	5
PLU20	0	0	1	0	1	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	5
PLU21	0	1	1	1	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	5
PLU22	2	0	0	0	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	5
PLU27	1	0	0	1	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	NA
PLU28	1	0	1	0	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	NA
PLU29	1	0	0	0	2	PLU	Vitisvinifera	grape	50.905317	-0.072583	50	NA	NA
PLU5	0	3	1	0	4	PLU	Quercusrobur	oak	50.9107	-0.069633	47.3	2.73	4
PLU6	0	0	0	0	4	PLU	Quercusrobur	oak	50.909883	-0.070183	43.3	2.6	4
PLU7	0	0	0	1	4	PLU	Quercusrobur	oak	50.9071	-0.0697	51.5	0.79	5.5
PLU8	0	0	0	0	4	PLU	Quercusrobur	oak	50.90705	-0.069667	51.2	0.5	5
PLU9	0	0	1	1	4	PLU	Quercusrobur	oak	50.906433	-0.06975	47.5	0.56	5.5
PYR10	0	0	3	2	6	PYR	Quercusvirgiliana	oak	40.37515	23.69257	145	1.645	NA
PYR11	0	0	3	4	6	PYR	Quercusvirgiliana	oak	40.37498	23.69158	144	1.81	NA
PYR12	0	0	0	5	6	PYR	Quercuspubescens	oak	40.37634	23.69194	150	NA	NA
PYR13	0	0	0	1	4	PYR	Quercuspubescens	oak	40.376944	23.692861	161	NA	NA
PYR14	0	0	1	2	4	PYR	Quercuspubescens	oak	40.37584	23.69395	147	0.415	NA
PYR15	0	0	0	3	4	PYR	Quercuspubescens	oak	40.375306	23.695278	154	1.45	NA
PYR1	0	0	2	5	5	PYR	Quercuspubescens	oak	40.37258	23.69282	142	NA	NA
PYR2	0	0	3	3	6	PYR	Quercuspubescens	oak	40.37325	23.69317	144	1.33	NA
PYR3	0	0	1	4	5	PYR	Quercuspubescens	oak	40.37351	23.69323	144	1.23	NA
PYR4	2	0	2	4	6	PYR	Quercuspubescens	oak	40.37596	23.6925	150	NA	NA
PYR5	0	5	1	3	6	PYR	Quercuspubescens	oak	40.3758	23.6924	151	NA	NA
PYR6	0	0	4	2	6	PYR	Quercuspubescens	oak	40.3758	23.69243	148	NA	NA
PYR7	0	4	1	2	6	PYR	Quercuspubescens	oak	40.37554	23.69234	149	NA	NA
PYR8	0	4	0	3	6	PYR	Quercusvirgiliana	oak	40.37535	23.69223	147	NA	NA
PYR9	0	1	2	4	6	PYR	Quercuspubescens	oak	40.37548	23.6922	147	NA	NA
SON1	0	0	0	1	3	SON	Ficuscarica	fig	41.711014	-7.228742	567	0.56	6.5
SON2	0	0	0	0	3	SON	Ficuscarica	fig	41.710883	-7.228683	567	0.33	6.5
SON3	0	0	0	1	3	SON	Ficuscarica	fig	41.710883	-7.228753	567	1.41	7.5
SON4	1	0	0	0	3	SON	Ficuscarica	fig	41.710836	-7.228847	567	0.445	6
SON5	0	0	0	0	3	SON	Ficuscarica	fig	41.711156	-7.229614	567	0.645	5
SON6	0	0	0	1	3	SON	Ficuscarica	fig	41.711147	-7.229589	567	0.92	7
SON7	0	0	1	0	3	SON	Ficuscarica	fig	41.711158	-7.229675	567	0.278	6
SON8	0	0	0	0	3	SON	Ficuscarica	fig	41.711114	-7.229519	567	0.358	6
TAX10	0	0	2	2	4	TAX	Quercusfrainetto	oak	40.43335	23.49898	813	0.46	NA
TAX11	0	0	4	1	4	TAX	Quercusfrainetto	oak	40.43406	23.49914	821	NA	NA
TAX12	0	0	4	1	4	TAX	Quercusfrainetto	oak	40.43397	23.49888	818	0.72	NA
TAX13	0	1	3	0	4	TAX	Quercusfrainetto	oak	40.43388	23.49902	816	NA	NA
TAX14	0	3	1	1	4	TAX	Quercusfrainetto	oak	40.4332	23.49548	796	1.31	NA
TAX15	0	4	0	0	4	TAX	Quercusfrainetto	oak	40.43328	23.49516	797	1.545	NA
TAX1	0	2	1	1	4	TAX	Quercusfrainetto	oak	40.43237	23.50122	829	0.525	NA
TAX2	0	2	2	2	4	TAX	Quercusfrainetto	oak	40.43212	23.5026	849	0.795	NA
TAX3	0	1	2	1	4	TAX	Quercusfrainetto	oak	40.43235	23.50295	856	0.76	NA
TAX4	0	4	2	3	4	TAX	Quercusfrainetto	oak	40.43273	23.50222	853	0.92	NA
TAX5	0	2	0	0	4	TAX	Quercusfrainetto	oak	40.43299	23.50173	850	0.555	NA
TAX6	0	0	3	0	4	TAX	Quercusfrainetto	oak	40.43327	23.50157	852	0.8	NA
TAX7	0	0	1	3	4	TAX	Quercusfrainetto	oak	40.43386	23.5008	848	0.725	NA
TAX8	0	1	2	4	4	TAX	Quercusfrainetto	oak	40.43398	23.50069	847	0.75	NA
TAX9	0	0	4	1	4	TAX	Quercusfrainetto	oak	40.43349	23.49853	807	NA	NA
TTP1	0	0	3	0	3	TTP	Quercusrobur	oak	53.335653	-2.387733	25	3.9	7
TTP2	0	1	1	0	2	TTP	Quercusrobur	oak	53.335453	-2.385689	64	4.02	4
UEA1	0	0	0	0	2	UEA	Quercusrobur	oak	52.618792	1.2353031	12	NA	5
UEA2	0	1	0	0	1	UEA	Quercusrobur	oak	52.623324	1.2392497	26	6.82	5
VEL	1	0	4	4	10	PAR	Ficuscarica	fig	38.13398	23.78009	334	NA	NA
