sampleName	Scer	Spar	otherAmplifiedITS	otherGrowth	substrate	fieldDate	weight	isolationTemp	hostName	site	species	hostType	latitude	longitude	elevation	circum	pH
AN1a	0	0	1	1	fig	10/09/2009	NA	30	AN1	PYR	Ficuscarica	fig	40.2504	23.69257	90	NA	NA
AN1b	0	0	1	0	fig	10/09/2009	NA	30	AN1	PYR	Ficuscarica	fig	40.2504	23.69257	90	NA	NA
AN1c	0	0	1	0	fig	10/09/2009	NA	30	AN1	PYR	Ficuscarica	fig	40.2504	23.69257	90	NA	NA
AN1d	0	0	1	0	fig	10/09/2009	NA	30	AN1	PYR	Ficuscarica	fig	40.2504	23.69257	90	NA	NA
AN1e	0	0	1	1	fig	10/09/2009	NA	30	AN1	PYR	Ficuscarica	fig	40.2504	23.69257	90	NA	NA
AN1f	1	0	0	0	fig	10/09/2009	NA	30	AN1	PYR	Ficuscarica	fig	40.2504	23.69257	90	NA	NA
AN1g	1	0	1	0	fig	10/09/2009	NA	30	AN1	PYR	Ficuscarica	fig	40.2504	23.69257	90	NA	NA
AN1h	0	0	1	0	fig	10/09/2009	NA	30	AN1	PYR	Ficuscarica	fig	40.2504	23.69257	90	NA	NA
AN1i	0	0	1	1	fig	10/09/2009	NA	30	AN1	PYR	Ficuscarica	fig	40.2504	23.69257	90	NA	NA
AN1j	0	0	1	1	fig	10/09/2009	NA	30	AN1	PYR	Ficuscarica	fig	40.2504	23.69257	90	NA	NA
AN2a	0	0	0	1	grape	10/09/2009	NA	30	AN2	PYR	Vitisvinifera	grape	40.25023	23.69359	85	NA	NA
AN2b	0	0	1	0	grape	10/09/2009	NA	30	AN2	PYR	Vitisvinifera	grape	40.25023	23.69359	85	NA	NA
AN2c	0	0	0	0	grape	10/09/2009	NA	30	AN2	PYR	Vitisvinifera	grape	40.25023	23.69359	85	NA	NA
AN2d	0	0	1	0	grape	10/09/2009	NA	30	AN2	PYR	Vitisvinifera	grape	40.25023	23.69359	85	NA	NA
AN2e	0	0	1	0	grape	10/09/2009	NA	30	AN2	PYR	Vitisvinifera	grape	40.25023	23.69359	85	NA	NA
AN2f	0	0	1	0	grape	10/09/2009	NA	30	AN2	PYR	Vitisvinifera	grape	40.25023	23.69359	85	NA	NA
AN2g	0	0	1	0	grape	10/09/2009	NA	30	AN2	PYR	Vitisvinifera	grape	40.25023	23.69359	85	NA	NA
AN2i	0	0	1	0	grape	10/09/2009	NA	30	AN2	PYR	Vitisvinifera	grape	40.25023	23.69359	85	NA	NA
AN2j	0	0	1	1	grape	10/09/2009	NA	30	AN2	PYR	Vitisvinifera	grape	40.25023	23.69359	85	NA	NA
AN3a	0	0	1	0	fig	10/09/2009	NA	30	AN3	PYR	Ficuscarica	fig	40.25023	23.69359	85	NA	NA
AN3b	0	0	1	0	fig	10/09/2009	NA	30	AN3	PYR	Ficuscarica	fig	40.25023	23.69359	85	NA	NA
AN3c	0	0	1	0	fig	10/09/2009	NA	30	AN3	PYR	Ficuscarica	fig	40.25023	23.69359	85	NA	NA
AN3d	0	0	1	0	fig	10/09/2009	NA	30	AN3	PYR	Ficuscarica	fig	40.25023	23.69359	85	NA	NA
AN3e	1	0	1	1	fig	10/09/2009	NA	30	AN3	PYR	Ficuscarica	fig	40.25023	23.69359	85	NA	NA
AN4f	0	0	1	1	fig	27/08/2011	13.52	30	AN4	PYR	Ficuscarica	fig	40.25023	23.69359	85	NA	NA
AN4g	0	0	0	1	fig	27/08/2011	12.04	30	AN4	PYR	Ficuscarica	fig	40.25023	23.69359	85	NA	NA
AN4h	0	0	1	0	fig	27/08/2011	7.08	30	AN4	PYR	Ficuscarica	fig	40.25023	23.69359	85	NA	NA
AN4i	0	0	0	0	fig	27/08/2011	10.6	30	AN4	PYR	Ficuscarica	fig	40.25023	23.69359	85	NA	NA
AN4j	0	0	1	0	fig	27/08/2011	10.32	30	AN4	PYR	Ficuscarica	fig	40.25023	23.69359	85	NA	NA
AN4k	0	0	0	1	fig	27/08/2011	10.34	30	AN4	PYR	Ficuscarica	fig	40.25023	23.69359	85	NA	NA
AN4l	0	0	0	1	fig	27/08/2011	11.45	30	AN4	PYR	Ficuscarica	fig	40.25023	23.69359	85	NA	NA
AN4m	0	0	0	1	fig	27/08/2011	5.15	30	AN4	PYR	Ficuscarica	fig	40.25023	23.69359	85	NA	NA
AN4n	0	0	0	1	fig	27/08/2011	14.25	30	AN4	PYR	Ficuscarica	fig	40.25023	23.69359	85	NA	NA
AN4o	0	0	0	1	fig	27/08/2011	12.29	30	AN4	PYR	Ficuscarica	fig	40.25023	23.69359	85	NA	NA
BOBa	0	0	0	1	grape	02/09/2011	5.65	30	BOB	PAR	Vitisvinifera	grape	38.13974	23.78445	378	NA	NA
BOBb	0	0	0	1	grape	02/09/2011	7.01	30	BOB	PAR	Vitisvinifera	grape	38.13974	23.78445	378	NA	NA
BOBc	0	0	0	1	grape	02/09/2011	7.67	30	BOB	PAR	Vitisvinifera	grape	38.13974	23.78445	378	NA	NA
BOBd	0	0	0	1	grape	02/09/2011	9.56	30	BOB	PAR	Vitisvinifera	grape	38.13974	23.78445	378	NA	NA
BOBe	0	0	0	1	grape	02/09/2011	8.45	30	BOB	PAR	Vitisvinifera	grape	38.13974	23.78445	378	NA	NA
BOBf	0	0	0	1	grape	02/09/2011	8.09	30	BOB	PAR	Vitisvinifera	grape	38.13974	23.78445	378	NA	NA
BOBg	0	0	0	1	grape	02/09/2011	10.66	30	BOB	PAR	Vitisvinifera	grape	38.13974	23.78445	378	NA	NA
BOBh	0	0	1	0	grape	02/09/2011	7.64	30	BOB	PAR	Vitisvinifera	grape	38.13974	23.78445	378	NA	NA
BOBi	0	0	0	0	grape	02/09/2011	10	30	BOB	PAR	Vitisvinifera	grape	38.13974	23.78445	378	NA	NA
BOBj	0	0	0	1	grape	02/09/2011	9.7	30	BOB	PAR	Vitisvinifera	grape	38.13974	23.78445	378	NA	NA
CHO3b	0	0	1	0	bark	06/07/2007	3.11	30	CHO3	CHO	Quercussp.	oak	53.42394	-2.2700013	34	1.14	NA
CR1a	0	0	1	0	fig	04/08/2011	10.79	30	CR1	CR	Ficuscarica	fig	35.5527	23.777033	21	NA	NA
CR1b	0	0	0	0	fig	04/08/2011	3.85	30	CR1	CR	Ficuscarica	fig	35.5527	23.777033	21	NA	NA
CR1c	0	0	0	0	fig	04/08/2011	6.41	30	CR1	CR	Ficuscarica	fig	35.5527	23.777033	21	NA	NA
CR1d	0	0	0	0	fig	04/08/2011	10.37	30	CR1	CR	Ficuscarica	fig	35.5527	23.777033	21	NA	NA
CR1e	0	0	0	0	fig	04/08/2011	7.48	30	CR1	CR	Ficuscarica	fig	35.5527	23.777033	21	NA	NA
CR1f	0	0	1	0	fig	04/08/2011	12.15	30	CR1	CR	Ficuscarica	fig	35.5527	23.777033	21	NA	NA
CR1g	0	0	0	0	fig	04/08/2011	5.84	30	CR1	CR	Ficuscarica	fig	35.5527	23.777033	21	NA	NA
CR1h	0	0	0	0	fig	04/08/2011	9.29	30	CR1	CR	Ficuscarica	fig	35.5527	23.777033	21	NA	NA
CR1i	0	0	0	0	fig	04/08/2011	9.83	30	CR1	CR	Ficuscarica	fig	35.5527	23.777033	21	NA	NA
CR1j	0	0	0	0	fig	04/08/2011	10.26	30	CR1	CR	Ficuscarica	fig	35.5527	23.777033	21	NA	NA
CR1k	0	0	1	0	fig	04/08/2011	9.56	30	CR1	CR	Ficuscarica	fig	35.5527	23.777033	21	NA	NA
CRO10a	0	0	0	0	bark	02/09/2008	0.51	30	CRO10	CRO	Quercuspetraea	oak	53.494804	-1.8945389	287	1.68	3
CRO10b	0	0	0	0	bark	02/09/2008	0.91	30	CRO10	CRO	Quercuspetraea	oak	53.494804	-1.8945389	287	1.68	3
CRO10c	0	0	0	0	bark	22/06/2009	0.56	30	CRO10	CRO	Quercuspetraea	oak	53.494804	-1.8945389	287	1.68	3
CRO10d	0	0	0	0	bark	22/06/2009	0.34	30	CRO10	CRO	Quercuspetraea	oak	53.494804	-1.8945389	287	1.68	3
CRO10e	0	0	0	0	bark	22/06/2009	0.39	30	CRO10	CRO	Quercuspetraea	oak	53.494804	-1.8945389	287	1.68	3
CRO10f	0	0	0	0	bark	22/06/2009	1	30	CRO10	CRO	Quercuspetraea	oak	53.494804	-1.8945389	287	1.68	3
CRO10g	0	0	0	0	bark	11/07/2011	0.54	30	CRO10	CRO	Quercuspetraea	oak	53.494804	-1.8945389	287	1.68	3
CRO10h	0	0	0	0	bark	11/07/2011	0.72	30	CRO10	CRO	Quercuspetraea	oak	53.494804	-1.8945389	287	1.68	3
CRO10i	0	0	1	1	bark	11/07/2011	0.51	10	CRO10	CRO	Quercuspetraea	oak	53.494804	-1.8945389	287	1.68	3
CRO10j	0	0	0	0	bark	11/07/2011	0.72	30	CRO10	CRO	Quercuspetraea	oak	53.494804	-1.8945389	287	1.68	3
CRO11a	0	0	0	0	bark	02/09/2008	1.31	30	CRO11	CRO	Quercuspetraea	oak	53.494633	-1.8944489	281	0.85	3
CRO11b	0	0	0	0	bark	02/09/2008	0.62	30	CRO11	CRO	Quercuspetraea	oak	53.494633	-1.8944489	281	0.85	3
CRO11c	0	0	0	0	bark	22/06/2009	0.19	30	CRO11	CRO	Quercuspetraea	oak	53.494633	-1.8944489	281	0.85	3
CRO11d	0	0	0	0	bark	22/06/2009	0.37	30	CRO11	CRO	Quercuspetraea	oak	53.494633	-1.8944489	281	0.85	3
CRO11e	0	0	0	0	bark	22/06/2009	0.3	30	CRO11	CRO	Quercuspetraea	oak	53.494633	-1.8944489	281	0.85	3
CRO11f	0	0	0	0	bark	22/06/2009	0.34	30	CRO11	CRO	Quercuspetraea	oak	53.494633	-1.8944489	281	0.85	3
CRO11g	0	0	0	0	bark	11/07/2011	0.37	30	CRO11	CRO	Quercuspetraea	oak	53.494633	-1.8944489	281	0.85	3
CRO11h	0	0	0	0	bark	11/07/2011	0.41	30	CRO11	CRO	Quercuspetraea	oak	53.494633	-1.8944489	281	0.85	3
CRO11i	0	0	0	0	bark	11/07/2011	0.47	10	CRO11	CRO	Quercuspetraea	oak	53.494633	-1.8944489	281	0.85	3
CRO11j	0	0	0	0	bark	11/07/2011	0.33	30	CRO11	CRO	Quercuspetraea	oak	53.494633	-1.8944489	281	0.85	3
CRO12a	0	0	0	0	bark	02/09/2008	0.77	30	CRO12	CRO	Quercuspetraea	oak	53.494435	-1.8942233	275	1.3	3
CRO12b	0	1	0	0	bark	02/09/2008	0.75	30	CRO12	CRO	Quercuspetraea	oak	53.494435	-1.8942233	275	1.3	3
CRO12c	0	0	0	0	bark	22/06/2009	0.32	30	CRO12	CRO	Quercuspetraea	oak	53.494435	-1.8942233	275	1.3	3
CRO12d	0	0	0	0	bark	22/06/2009	0.64	30	CRO12	CRO	Quercuspetraea	oak	53.494435	-1.8942233	275	1.3	3
CRO12e	0	0	0	0	bark	22/06/2009	0.53	30	CRO12	CRO	Quercuspetraea	oak	53.494435	-1.8942233	275	1.3	3
CRO12f	0	0	0	0	bark	22/06/2009	0.42	30	CRO12	CRO	Quercuspetraea	oak	53.494435	-1.8942233	275	1.3	3
CRO12g	0	0	0	0	bark	11/07/2011	0.88	30	CRO12	CRO	Quercuspetraea	oak	53.494435	-1.8942233	275	1.3	3
CRO12h	0	0	0	0	bark	11/07/2011	0.6	30	CRO12	CRO	Quercuspetraea	oak	53.494435	-1.8942233	275	1.3	3
CRO12i	0	0	0	1	bark	11/07/2011	1.23	10	CRO12	CRO	Quercuspetraea	oak	53.494435	-1.8942233	275	1.3	3
CRO12j	0	0	0	0	bark	11/07/2011	1.29	30	CRO12	CRO	Quercuspetraea	oak	53.494435	-1.8942233	275	1.3	3
CRO13a	0	0	0	0	bark	22/06/2009	3.83	30	CRO13	CRO	Quercuspetraea	oak	53.494858	-1.894373	290	1.37	3.25
CRO13b	0	0	0	0	bark	22/06/2009	0.17	30	CRO13	CRO	Quercuspetraea	oak	53.494858	-1.894373	290	1.37	3.25
CRO13c	0	0	0	0	bark	22/06/2009	0.15	30	CRO13	CRO	Quercuspetraea	oak	53.494858	-1.894373	290	1.37	3.25
CRO13d	0	0	0	0	bark	22/06/2009	0.47	30	CRO13	CRO	Quercuspetraea	oak	53.494858	-1.894373	290	1.37	3.25
CRO13e	0	0	0	0	bark	11/07/2011	0.95	30	CRO13	CRO	Quercuspetraea	oak	53.494858	-1.894373	290	1.37	3.25
CRO13f	0	0	0	0	bark	11/07/2011	0.65	30	CRO13	CRO	Quercuspetraea	oak	53.494858	-1.894373	290	1.37	3.25
CRO13g	0	0	1	0	bark	11/07/2011	1.53	10	CRO13	CRO	Quercuspetraea	oak	53.494858	-1.894373	290	1.37	3.25
CRO13h	0	0	0	0	bark	11/07/2011	0.85	30	CRO13	CRO	Quercuspetraea	oak	53.494858	-1.894373	290	1.37	3.25
CRO14a	0	0	0	0	bark	22/06/2009	0.51	30	CRO14	CRO	Quercuspetraea	oak	53.495127	-1.8944025	300	1.22	3.25
CRO14b	0	0	0	0	bark	22/06/2009	0.23	30	CRO14	CRO	Quercuspetraea	oak	53.495127	-1.8944025	300	1.22	3.25
CRO14c	0	0	0	0	bark	22/06/2009	0.37	30	CRO14	CRO	Quercuspetraea	oak	53.495127	-1.8944025	300	1.22	3.25
CRO14d	0	0	0	0	bark	22/06/2009	0.22	30	CRO14	CRO	Quercuspetraea	oak	53.495127	-1.8944025	300	1.22	3.25
CRO14e	0	0	0	0	bark	11/07/2011	0.32	30	CRO14	CRO	Quercuspetraea	oak	53.495127	-1.8944025	300	1.22	3.25
CRO14f	0	0	0	0	bark	11/07/2011	0.28	30	CRO14	CRO	Quercuspetraea	oak	53.495127	-1.8944025	300	1.22	3.25
CRO14g	0	0	0	1	bark	11/07/2011	0.46	10	CRO14	CRO	Quercuspetraea	oak	53.495127	-1.8944025	300	1.22	3.25
CRO14h	0	0	0	0	bark	11/07/2011	0.81	30	CRO14	CRO	Quercuspetraea	oak	53.495127	-1.8944025	300	1.22	3.25
CRO15a	0	0	0	0	bark	22/06/2009	0.42	30	CRO15	CRO	Quercuspetraea	oak	53.494183	-1.8938471	275	1.28	3.25
CRO15b	0	0	0	0	bark	22/06/2009	0.34	30	CRO15	CRO	Quercuspetraea	oak	53.494183	-1.8938471	275	1.28	3.25
CRO15c	0	0	0	0	bark	22/06/2009	0.16	30	CRO15	CRO	Quercuspetraea	oak	53.494183	-1.8938471	275	1.28	3.25
CRO15d	0	0	0	0	bark	22/06/2009	0.52	30	CRO15	CRO	Quercuspetraea	oak	53.494183	-1.8938471	275	1.28	3.25
CRO15e	0	0	0	0	bark	11/07/2011	0.44	30	CRO15	CRO	Quercuspetraea	oak	53.494183	-1.8938471	275	1.28	3.25
CRO15f	0	0	0	0	bark	11/07/2011	0.21	30	CRO15	CRO	Quercuspetraea	oak	53.494183	-1.8938471	275	1.28	3.25
CRO15g	0	0	0	0	bark	11/07/2011	0.39	30	CRO15	CRO	Quercuspetraea	oak	53.494183	-1.8938471	275	1.28	3.25
CRO15h	0	0	0	0	bark	11/07/2011	0.63	10	CRO15	CRO	Quercuspetraea	oak	53.494183	-1.8938471	275	1.28	3.25
CRO1e	0	0	0	0	bark	11/07/2007	1.02	30	CRO1	CRO	Quercuspetraea	oak	53.49475	-1.8944034	257	2	3.5
CRO1f	0	0	0	0	bark	11/07/2007	0.56	30	CRO1	CRO	Quercuspetraea	oak	53.49475	-1.8944034	257	2	3.5
CRO1g	0	0	0	0	bark	11/07/2007	0.62	30	CRO1	CRO	Quercuspetraea	oak	53.49475	-1.8944034	257	2	3.5
CRO1i	0	0	0	0	bark	22/06/2009	0.8	30	CRO1	CRO	Quercuspetraea	oak	53.49475	-1.8944034	257	2	3.5
CRO1iia	0	0	0	0	bark	02/09/2008	0.97	30	CRO1	CRO	Quercuspetraea	oak	53.49475	-1.8944034	257	2	3.5
CRO1iib	0	0	0	0	bark	02/09/2008	0.58	30	CRO1	CRO	Quercuspetraea	oak	53.49475	-1.8944034	257	2	3.5
CRO1j	0	0	0	0	bark	22/06/2009	0.72	30	CRO1	CRO	Quercuspetraea	oak	53.49475	-1.8944034	257	2	3.5
CRO1k	0	0	1	0	bark	22/06/2009	0.5	30	CRO1	CRO	Quercuspetraea	oak	53.49475	-1.8944034	257	2	3.5
CRO1l	0	1	0	0	bark	22/06/2009	0.22	30	CRO1	CRO	Quercuspetraea	oak	53.49475	-1.8944034	257	2	3.5
CRO1m	0	0	0	0	bark	11/07/2011	0.74	30	CRO1	CRO	Quercuspetraea	oak	53.49475	-1.8944034	257	2	3.5
CRO1n	0	0	0	0	bark	11/07/2011	0.68	30	CRO1	CRO	Quercuspetraea	oak	53.49475	-1.8944034	257	2	3.5
CRO1o	0	0	0	1	bark	11/07/2011	1.02	10	CRO1	CRO	Quercuspetraea	oak	53.49475	-1.8944034	257	2	3.5
CRO1p	0	0	0	0	bark	11/07/2011	0.63	30	CRO1	CRO	Quercuspetraea	oak	53.49475	-1.8944034	257	2	3.5
CRO2d	0	1	0	0	bark	11/07/2007	0.38	30	CRO2	CRO	Quercuspetraea	oak	53.494066	-1.8936364	256	2	3.5
CRO2e	0	1	0	0	bark	11/07/2007	0.33	30	CRO2	CRO	Quercuspetraea	oak	53.494066	-1.8936364	256	2	3.5
CRO2f	0	1	0	0	bark	11/07/2007	0.25	30	CRO2	CRO	Quercuspetraea	oak	53.494066	-1.8936364	256	2	3.5
CRO2h	0	0	0	0	bark	22/06/2009	0.2	30	CRO2	CRO	Quercuspetraea	oak	53.494066	-1.8936364	256	2	3.5
CRO2i	0	0	0	0	bark	22/06/2009	0.61	30	CRO2	CRO	Quercuspetraea	oak	53.494066	-1.8936364	256	2	3.5
CRO2j	0	0	0	0	bark	22/06/2009	0.33	30	CRO2	CRO	Quercuspetraea	oak	53.494066	-1.8936364	256	2	3.5
CRO2k	0	0	0	0	bark	22/06/2009	0.13	30	CRO2	CRO	Quercuspetraea	oak	53.494066	-1.8936364	256	2	3.5
CRO2l	0	0	0	0	bark	11/07/2011	0.22	30	CRO2	CRO	Quercuspetraea	oak	53.494066	-1.8936364	256	2	3.5
CRO2m	0	0	0	0	bark	11/07/2011	0.25	30	CRO2	CRO	Quercuspetraea	oak	53.494066	-1.8936364	256	2	3.5
CRO2n	0	0	0	1	bark	11/07/2011	0.24	10	CRO2	CRO	Quercuspetraea	oak	53.494066	-1.8936364	256	2	3.5
CRO2o	0	0	0	0	bark	11/07/2011	0.19	30	CRO2	CRO	Quercuspetraea	oak	53.494066	-1.8936364	256	2	3.5
CRO3d	0	1	0	0	bark	11/07/2007	0.73	30	CRO3	CRO	Quercuspetraea	oak	53.494075	-1.8936062	260	1.8	3.5
CRO3e	0	1	0	0	bark	11/07/2007	0.89	30	CRO3	CRO	Quercuspetraea	oak	53.494075	-1.8936062	260	1.8	3.5
CRO3f	0	0	0	0	bark	11/07/2007	0.39	30	CRO3	CRO	Quercuspetraea	oak	53.494075	-1.8936062	260	1.8	3.5
CRO3i	0	0	0	0	bark	22/06/2009	0.87	30	CRO3	CRO	Quercuspetraea	oak	53.494075	-1.8936062	260	1.8	3.5
CRO3j	0	0	0	0	bark	22/06/2009	1.03	30	CRO3	CRO	Quercuspetraea	oak	53.494075	-1.8936062	260	1.8	3.5
CRO3k	0	0	0	1	bark	22/06/2009	1.09	30	CRO3	CRO	Quercuspetraea	oak	53.494075	-1.8936062	260	1.8	3.5
CRO3l	0	0	0	0	bark	22/06/2009	0.55	30	CRO3	CRO	Quercuspetraea	oak	53.494075	-1.8936062	260	1.8	3.5
CRO3m	0	0	0	0	bark	11/07/2011	0.1	30	CRO3	CRO	Quercuspetraea	oak	53.494075	-1.8936062	260	1.8	3.5
CRO3n	0	0	0	0	bark	11/07/2011	0.26	30	CRO3	CRO	Quercuspetraea	oak	53.494075	-1.8936062	260	1.8	3.5
CRO3o	0	0	1	0	bark	11/07/2011	0.16	10	CRO3	CRO	Quercuspetraea	oak	53.494075	-1.8936062	260	1.8	3.5
CRO3p	0	0	0	0	bark	11/07/2011	0.26	30	CRO3	CRO	Quercuspetraea	oak	53.494075	-1.8936062	260	1.8	3.5
CRO4a	0	1	0	0	bark	02/09/2008	0.42	30	CRO4	CRO	Quercuspetraea	oak	53.493364	-1.8931558	334	1.44	4
CRO4b	0	0	0	0	bark	02/09/2008	0.54	30	CRO4	CRO	Quercuspetraea	oak	53.493364	-1.8931558	334	1.44	4
CRO4c	0	0	0	0	bark	22/06/2009	0.17	30	CRO4	CRO	Quercuspetraea	oak	53.493364	-1.8931558	334	1.44	4
CRO4d	0	0	0	0	bark	22/06/2009	0.22	30	CRO4	CRO	Quercuspetraea	oak	53.493364	-1.8931558	334	1.44	4
CRO4e	0	0	0	0	bark	22/06/2009	0.3	30	CRO4	CRO	Quercuspetraea	oak	53.493364	-1.8931558	334	1.44	4
CRO4f	0	0	0	0	bark	22/06/2009	0.26	30	CRO4	CRO	Quercuspetraea	oak	53.493364	-1.8931558	334	1.44	4
CRO4g	0	0	0	0	bark	11/07/2011	0.16	30	CRO4	CRO	Quercuspetraea	oak	53.493364	-1.8931558	334	1.44	4
CRO4h	0	0	0	1	bark	11/07/2011	0.57	30	CRO4	CRO	Quercuspetraea	oak	53.493364	-1.8931558	334	1.44	4
CRO4i	0	0	0	0	bark	11/07/2011	0.28	10	CRO4	CRO	Quercuspetraea	oak	53.493364	-1.8931558	334	1.44	4
CRO5a	0	0	0	0	bark	02/09/2008	0.78	30	CRO5	CRO	Quercuspetraea	oak	53.493454	-1.8932611	331	1.56	3
CRO5b	0	0	0	0	bark	02/09/2008	1.26	30	CRO5	CRO	Quercuspetraea	oak	53.493454	-1.8932611	331	1.56	3
CRO5c	0	0	0	0	bark	22/06/2009	0.24	30	CRO5	CRO	Quercuspetraea	oak	53.493454	-1.8932611	331	1.56	3
CRO5d	0	0	0	0	bark	22/06/2009	0.11	30	CRO5	CRO	Quercuspetraea	oak	53.493454	-1.8932611	331	1.56	3
CRO5e	0	0	0	0	bark	22/06/2009	0.4	30	CRO5	CRO	Quercuspetraea	oak	53.493454	-1.8932611	331	1.56	3
CRO5f	0	0	0	1	bark	22/06/2009	0.34	30	CRO5	CRO	Quercuspetraea	oak	53.493454	-1.8932611	331	1.56	3
CRO5h	0	0	0	0	bark	11/07/2011	0.09	30	CRO5	CRO	Quercuspetraea	oak	53.493454	-1.8932611	331	1.56	3
CRO5i	0	0	0	0	bark	11/07/2011	0.12	30	CRO5	CRO	Quercuspetraea	oak	53.493454	-1.8932611	331	1.56	3
